episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/shared_policy/learner_stats/allreduce_latency,info/learner/shared_policy/learner_stats/cur_kl_coeff,info/learner/shared_policy/learner_stats/cur_lr,info/learner/shared_policy/learner_stats/total_loss,info/learner/shared_policy/learner_stats/policy_loss,info/learner/shared_policy/learner_stats/vf_loss,info/learner/shared_policy/learner_stats/vf_explained_var,info/learner/shared_policy/learner_stats/kl,info/learner/shared_policy/learner_stats/entropy,info/learner/shared_policy/learner_stats/entropy_coeff
nan,nan,nan,nan,0,10,3200,0,6400,False,0,1,2574c_00000,6e867e916d924153b2b9acfeece8b2f3,2024-06-19_20-43-33,1718797413,1.9483609199523926,1.9483609199523926,1134007,DESKTOP-CUOU9RN,172.26.35.186,1.9483609199523926,0,1,[],[],1536.188,2083.079,0.402,7951287.204,419.816,7622.382,1.925,3200,6400,3200,6400,56.13333333333333,32.733333333333334,0.0,0.2,0.0005,252614.853125,-0.004184229504316761,252614.88125,2.6166439056396484e-05,0.0057510289829225975,2.8446547985076904,0.01
nan,nan,nan,nan,0,10,6400,0,12800,False,0,2,2574c_00000,6e867e916d924153b2b9acfeece8b2f3,2024-06-19_20-43-35,1718797415,1.972733497619629,3.9210944175720215,1134007,DESKTOP-CUOU9RN,172.26.35.186,3.9210944175720215,0,2,[],[],1784.027,1793.695,0.272,11763166.345,396.439,8071.861,1.717,6400,12800,6400,12800,52.96666666666666,33.7,0.0,0.2,0.0005,208727.925,-0.0013148307665261428,208727.95,0.0001458406448364258,0.0024124627234421493,2.859999942779541,0.01
11445.160110224751,6691.615049686843,9518.133025730485,800.0,10,10,9600,0,19200,False,10,3,2574c_00000,6e867e916d924153b2b9acfeece8b2f3,2024-06-19_20-43-37,1718797417,1.8477213382720947,5.768815755844116,1134007,DESKTOP-CUOU9RN,172.26.35.186,5.768815755844116,0,3,"[10300.945759295384, 9669.64653196044, 10778.151954546604, 8838.919078353945, 11445.160110224751, 6938.667177817644, 10827.757863345774, 9721.733153812445, 6691.615049686843, 9968.733578261013]","[800, 800, 800, 800, 800, 800, 800, 800, 800, 800]",1804.945,1772.907,0.224,14288615.472,392.139,8160.379,1.591,9600,19200,9600,19200,48.166666666666664,33.800000000000004,0.0,0.1,0.0005,106807.6828125,-0.002208901400677732,106807.7140625,0.0002068758010864258,0.002210527413991304,2.8530033588409425,0.01
11445.160110224751,6691.615049686843,9518.133025730485,800.0,0,10,12800,0,25600,False,10,4,2574c_00000,6e867e916d924153b2b9acfeece8b2f3,2024-06-19_20-43-39,1718797419,1.8633005619049072,7.632116317749023,1134007,DESKTOP-CUOU9RN,172.26.35.186,7.632116317749023,0,4,"[10300.945759295384, 9669.64653196044, 10778.151954546604, 8838.919078353945, 11445.160110224751, 6938.667177817644, 10827.757863345774, 9721.733153812445, 6691.615049686843, 9968.733578261013]","[800, 800, 800, 800, 800, 800, 800, 800, 800, 800]",1828.253,1750.305,0.203,15776400.588,384.703,8318.103,1.584,12800,25600,12800,25600,58.849999999999994,33.8,0.0,0.05,0.0005,222167.26875,-0.001981679843272843,222167.3,0.00023391246795654297,0.003360129147769594,2.8986004829406737,0.01
12991.310016112719,6691.615049686843,10006.924649653869,800.0,10,10,16000,0,32000,False,20,5,2574c_00000,6e867e916d924153b2b9acfeece8b2f3,2024-06-19_20-43-41,1718797421,1.984837293624878,9.616953611373901,1134007,DESKTOP-CUOU9RN,172.26.35.186,9.616953611373901,0,5,"[10300.945759295384, 9669.64653196044, 10778.151954546604, 8838.919078353945, 11445.160110224751, 6938.667177817644, 10827.757863345774, 9721.733153812445, 6691.615049686843, 9968.733578261013, 6872.670160533706, 11970.888638242388, 11024.216352678195, 12991.310016112719, 11523.97945329449, 11220.920454161303, 11226.178906699424, 8502.435490883763, 9736.303873747976, 9888.2593894186]","[800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800]",1861.406,1719.131,0.188,17019747.4,381.141,8395.844,1.547,16000,32000,16000,32000,55.03333333333334,33.9,0.0,0.025,0.0005,362675.69375,-0.0015921069625761675,362675.73125,0.0002610206604003906,0.004458964709194726,3.0015251636505127,0.01
12991.310016112719,6691.615049686843,10006.924649653869,800.0,0,10,19200,0,38400,False,20,6,2574c_00000,6e867e916d924153b2b9acfeece8b2f3,2024-06-19_20-43-42,1718797422,1.8458433151245117,11.462796926498413,1134007,DESKTOP-CUOU9RN,172.26.35.186,11.462796926498413,0,6,"[10300.945759295384, 9669.64653196044, 10778.151954546604, 8838.919078353945, 11445.160110224751, 6938.667177817644, 10827.757863345774, 9721.733153812445, 6691.615049686843, 9968.733578261013, 6872.670160533706, 11970.888638242388, 11024.216352678195, 12991.310016112719, 11523.97945329449, 11220.920454161303, 11226.178906699424, 8502.435490883763, 9736.303873747976, 9888.2593894186]","[800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800]",1861.285,1719.243,0.178,17987633.862,378.674,8450.533,1.58,19200,38400,19200,38400,51.333333333333336,33.9,0.0,0.0125,0.0005,237125.709375,-0.0028119163485243346,237125.725,-8.4686279296875e-05,0.003012978186600554,2.9814548015594484,0.01
12991.310016112719,6691.615049686843,10006.924649653869,800.0,0,10,22400,0,44800,False,20,7,2574c_00000,6e867e916d924153b2b9acfeece8b2f3,2024-06-19_20-43-45,1718797425,2.000399351119995,13.463196277618408,1134007,DESKTOP-CUOU9RN,172.26.35.186,13.463196277618408,0,7,"[10300.945759295384, 9669.64653196044, 10778.151954546604, 8838.919078353945, 11445.160110224751, 6938.667177817644, 10827.757863345774, 9721.733153812445, 6691.615049686843, 9968.733578261013, 6872.670160533706, 11970.888638242388, 11024.216352678195, 12991.310016112719, 11523.97945329449, 11220.920454161303, 11226.178906699424, 8502.435490883763, 9736.303873747976, 9888.2593894186]","[800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800]",1882.135,1700.197,0.173,18454608.053,377.891,8468.044,1.554,22400,44800,22400,44800,52.26666666666666,33.93333333333333,0.0,0.00625,0.0005,210666.253125,-0.0018866238268088864,210666.278125,9.613037109375e-05,0.005435951484836674,3.032902479171753,0.01
12991.310016112719,6399.729303758031,9702.023536078219,800.0,10,10,25600,0,51200,False,30,8,2574c_00000,6e867e916d924153b2b9acfeece8b2f3,2024-06-19_20-43-46,1718797426,1.9383463859558105,15.401542663574219,1134007,DESKTOP-CUOU9RN,172.26.35.186,15.401542663574219,0,8,"[10300.945759295384, 9669.64653196044, 10778.151954546604, 8838.919078353945, 11445.160110224751, 6938.667177817644, 10827.757863345774, 9721.733153812445, 6691.615049686843, 9968.733578261013, 6872.670160533706, 11970.888638242388, 11024.216352678195, 12991.310016112719, 11523.97945329449, 11220.920454161303, 11226.178906699424, 8502.435490883763, 9736.303873747976, 9888.2593894186, 8641.65149449903, 7195.388766598335, 11232.766436168677, 6399.729303758031, 12695.208712037875, 8165.789418320486, 8056.328787954201, 6446.814053460283, 9380.461602190167, 12708.074514282107]","[800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800]",1883.974,1698.537,0.169,18920560.775,383.982,8333.714,1.601,25600,51200,25600,51200,49.46666666666666,34.0,0.0,0.00625,0.0005,125221.409375,-0.0018497071159075062,125221.4453125,6.384849548339844e-05,0.002786560647659542,3.0382823944091797,0.01
12991.310016112719,6399.729303758031,9702.023536078219,800.0,0,10,28800,0,57600,False,30,9,2574c_00000,6e867e916d924153b2b9acfeece8b2f3,2024-06-19_20-43-49,1718797429,2.0591936111450195,17.46073627471924,1134007,DESKTOP-CUOU9RN,172.26.35.186,17.46073627471924,0,9,"[10300.945759295384, 9669.64653196044, 10778.151954546604, 8838.919078353945, 11445.160110224751, 6938.667177817644, 10827.757863345774, 9721.733153812445, 6691.615049686843, 9968.733578261013, 6872.670160533706, 11970.888638242388, 11024.216352678195, 12991.310016112719, 11523.97945329449, 11220.920454161303, 11226.178906699424, 8502.435490883763, 9736.303873747976, 9888.2593894186, 8641.65149449903, 7195.388766598335, 11232.766436168677, 6399.729303758031, 12695.208712037875, 8165.789418320486, 8056.328787954201, 6446.814053460283, 9380.461602190167, 12708.074514282107]","[800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800]",1909.929,1675.455,0.169,18948385.129,384.166,8329.735,1.583,28800,57600,28800,57600,53.333333333333336,34.0,0.0,0.003125,0.0005,258693.084375,-0.0024185957871377894,258693.109375,-2.5820732116699218e-05,0.0029494113172450266,3.1522114276885986,0.01
12991.310016112719,5736.520441732297,9430.085122034467,800.0,10,10,32000,0,64000,False,40,10,2574c_00000,6e867e916d924153b2b9acfeece8b2f3,2024-06-19_20-43-51,1718797431,1.9657745361328125,19.42651081085205,1134007,DESKTOP-CUOU9RN,172.26.35.186,19.42651081085205,0,10,"[10300.945759295384, 9669.64653196044, 10778.151954546604, 8838.919078353945, 11445.160110224751, 6938.667177817644, 10827.757863345774, 9721.733153812445, 6691.615049686843, 9968.733578261013, 6872.670160533706, 11970.888638242388, 11024.216352678195, 12991.310016112719, 11523.97945329449, 11220.920454161303, 11226.178906699424, 8502.435490883763, 9736.303873747976, 9888.2593894186, 8641.65149449903, 7195.388766598335, 11232.766436168677, 6399.729303758031, 12695.208712037875, 8165.789418320486, 8056.328787954201, 6446.814053460283, 9380.461602190167, 12708.074514282107, 8928.009453435912, 8936.693973762256, 8959.955687392485, 8436.82713911018, 9999.635590762326, 7032.095377336715, 8772.16980066344, 9631.395308468764, 5736.520441732297, 9709.396026367696]","[800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800]",1917.943,1668.454,0.167,19173961.143,383.324,8348.02,1.572,32000,64000,32000,64000,63.0,34.0,0.0,0.0015625,0.0005,114069.9828125,-0.0022410896560174365,114070.0125,-1.3566017150878906e-05,0.0038708376349010564,3.186428928375244,0.01
