episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/shared_policy/learner_stats/allreduce_latency,info/learner/shared_policy/learner_stats/grad_gnorm,info/learner/shared_policy/learner_stats/policy_entropy,info/learner/shared_policy/learner_stats/policy_loss,info/learner/shared_policy/learner_stats/vf_loss
nan,nan,nan,nan,0,10,3200,0,6400,False,0,1,6a067_00000,117843b70b6344b19af063c61dbbfc87,2024-06-19_19-55-22,1718794522,2.0139400959014893,2.0139400959014893,1098130,DESKTOP-CUOU9RN,172.26.35.186,2.0139400959014893,0,1,[],[],1950.204,1640.854,0.301,10618491.139,83.862,38158.004,1.363,3200,6400,3200,6400,65.93333333333334,33.23333333333333,0.0,2688958.2,18216.44921875,1230936.875,43675824.0
13074.790014079525,6471.226332468021,10046.363453538743,800.0,20,10,22400,0,44800,False,20,2,6a067_00000,117843b70b6344b19af063c61dbbfc87,2024-06-19_19-55-32,1718794532,10.709015130996704,12.722955226898193,1098130,DESKTOP-CUOU9RN,172.26.35.186,12.722955226898193,0,2,"[10465.06056170198, 7984.701124505878, 9712.14542393776, 11761.733229430021, 10707.634756786083, 10398.727485979041, 12499.044088311013, 10525.483027891609, 10741.545495800321, 13074.790014079525, 7870.200856652145, 11768.301465944493, 9616.280737586228, 7528.22323329115, 9720.956863194802, 9751.478621801263, 6471.226332468021, 9949.934929904837, 8845.032383831902, 11534.768437676765]","[800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800]",1812.636,1765.385,0.159,20092474.251,68.253,46884.124,1.436,22400,44800,22400,44800,59.5625,33.54375,0.0,3767448.2,20417.91015625,1461714.0,50603776.0
15074.695341751754,2600.0,9705.224468209146,800.0,30,10,41600,0,83200,False,50,3,6a067_00000,117843b70b6344b19af063c61dbbfc87,2024-06-19_19-55-44,1718794544,11.46819519996643,24.191150426864624,1098130,DESKTOP-CUOU9RN,172.26.35.186,24.191150426864624,0,3,"[10465.06056170198, 7984.701124505878, 9712.14542393776, 11761.733229430021, 10707.634756786083, 10398.727485979041, 12499.044088311013, 10525.483027891609, 10741.545495800321, 13074.790014079525, 7870.200856652145, 11768.301465944493, 9616.280737586228, 7528.22323329115, 9720.956863194802, 9751.478621801263, 6471.226332468021, 9949.934929904837, 8845.032383831902, 11534.768437676765, 5422.53459015344, 9073.09041474123, 13607.026374274072, 9057.285935898832, 11664.400821548272, 12187.01812482817, 10930.217490234987, 7521.980383808881, 10670.082341514295, 11000.47997550829, 11145.936537167523, 9105.288955299944, 12896.778350803019, 8525.08673694935, 7464.379650162171, 11830.603922472877, 10694.818116228162, 7333.044499871563, 10380.26035550269, 6555.634658073495, 2600.0, 6717.119425455952, 8490.969812527645, 10693.056345417666, 10692.64176184171, 6651.790392975676, 8732.281327407254, 15074.695341751754, 11863.475460441055, 5751.976236822491]","[800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800]",1861.752,1718.811,0.136,23538710.628,65.133,49130.242,1.564,41600,83200,41600,83200,59.675,33.5625,0.0,3649260.0,21647.1953125,1285440.5,41282236.0
15753.687195842307,2600.0,10078.532591854322,800.0,20,10,60800,0,121600,False,70,4,6a067_00000,117843b70b6344b19af063c61dbbfc87,2024-06-19_19-55-55,1718794555,11.362913846969604,35.55406427383423,1098130,DESKTOP-CUOU9RN,172.26.35.186,35.55406427383423,0,4,"[10465.06056170198, 7984.701124505878, 9712.14542393776, 11761.733229430021, 10707.634756786083, 10398.727485979041, 12499.044088311013, 10525.483027891609, 10741.545495800321, 13074.790014079525, 7870.200856652145, 11768.301465944493, 9616.280737586228, 7528.22323329115, 9720.956863194802, 9751.478621801263, 6471.226332468021, 9949.934929904837, 8845.032383831902, 11534.768437676765, 5422.53459015344, 9073.09041474123, 13607.026374274072, 9057.285935898832, 11664.400821548272, 12187.01812482817, 10930.217490234987, 7521.980383808881, 10670.082341514295, 11000.47997550829, 11145.936537167523, 9105.288955299944, 12896.778350803019, 8525.08673694935, 7464.379650162171, 11830.603922472877, 10694.818116228162, 7333.044499871563, 10380.26035550269, 6555.634658073495, 2600.0, 6717.119425455952, 8490.969812527645, 10693.056345417666, 10692.64176184171, 6651.790392975676, 8732.281327407254, 15074.695341751754, 11863.475460441055, 5751.976236822491, 14686.90459755608, 11534.531543149078, 7526.262844843626, 6733.814813047757, 11270.573541131613, 13301.847961219239, 10680.281382855916, 7415.140100812023, 15753.687195842307, 12944.613812754149, 8358.358523720672, 7576.7345142446175, 11982.74720618749, 14068.834619503039, 9470.058707900724, 12424.134932057575, 10050.512917092, 11126.19427529109, 11893.432723207847, 11437.391806928528]","[800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800]",1915.474,1670.604,0.139,23053543.112,65.77,48654.538,1.578,60800,121600,60800,121600,59.29375,33.55,0.0,5661525.0,23523.400390625,1735744.0,49262588.0
16080.39438769031,2600.0,10482.93385267255,800.0,30,10,80000,0,160000,False,100,5,6a067_00000,117843b70b6344b19af063c61dbbfc87,2024-06-19_19-56-06,1718794566,10.847342729568481,46.40140700340271,1098130,DESKTOP-CUOU9RN,172.26.35.186,46.40140700340271,0,5,"[10465.06056170198, 7984.701124505878, 9712.14542393776, 11761.733229430021, 10707.634756786083, 10398.727485979041, 12499.044088311013, 10525.483027891609, 10741.545495800321, 13074.790014079525, 7870.200856652145, 11768.301465944493, 9616.280737586228, 7528.22323329115, 9720.956863194802, 9751.478621801263, 6471.226332468021, 9949.934929904837, 8845.032383831902, 11534.768437676765, 5422.53459015344, 9073.09041474123, 13607.026374274072, 9057.285935898832, 11664.400821548272, 12187.01812482817, 10930.217490234987, 7521.980383808881, 10670.082341514295, 11000.47997550829, 11145.936537167523, 9105.288955299944, 12896.778350803019, 8525.08673694935, 7464.379650162171, 11830.603922472877, 10694.818116228162, 7333.044499871563, 10380.26035550269, 6555.634658073495, 2600.0, 6717.119425455952, 8490.969812527645, 10693.056345417666, 10692.64176184171, 6651.790392975676, 8732.281327407254, 15074.695341751754, 11863.475460441055, 5751.976236822491, 14686.90459755608, 11534.531543149078, 7526.262844843626, 6733.814813047757, 11270.573541131613, 13301.847961219239, 10680.281382855916, 7415.140100812023, 15753.687195842307, 12944.613812754149, 8358.358523720672, 7576.7345142446175, 11982.74720618749, 14068.834619503039, 9470.058707900724, 12424.134932057575, 10050.512917092, 11126.19427529109, 11893.432723207847, 11437.391806928528, 16078.866875635686, 8734.736751507258, 13793.972082130284, 11048.019661798611, 12719.803172873253, 9939.506130451307, 8825.507473665417, 13174.192916493757, 11431.793864737458, 8017.643730098251, 8719.269095264583, 11035.103423109682, 12309.367380153704, 11053.98932417163, 15942.367209635599, 13646.255433842169, 10186.22311552993, 7214.857718140385, 12917.700354266712, 10431.18632680675, 8259.481026503592, 12711.877436426705, 8843.710487859764, 3400.0, 10670.49498006576, 14770.171420391645, 16080.39438769031, 13701.941266186317, 11477.635426265417, 15660.035365750336]","[800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800]",1809.116,1768.819,0.136,23551101.597,64.036,49972.086,1.412,80000,160000,80000,160000,58.806250000000006,33.50625,0.0,5392867.5,24367.857421875,1507304.75,44324404.0
16080.39438769031,2600.0,10795.153351260613,800.0,20,10,99200,0,198400,False,120,6,6a067_00000,117843b70b6344b19af063c61dbbfc87,2024-06-19_19-56-17,1718794577,11.066915035247803,57.46832203865051,1098130,DESKTOP-CUOU9RN,172.26.35.186,57.46832203865051,0,6,"[5422.53459015344, 9073.09041474123, 13607.026374274072, 9057.285935898832, 11664.400821548272, 12187.01812482817, 10930.217490234987, 7521.980383808881, 10670.082341514295, 11000.47997550829, 11145.936537167523, 9105.288955299944, 12896.778350803019, 8525.08673694935, 7464.379650162171, 11830.603922472877, 10694.818116228162, 7333.044499871563, 10380.26035550269, 6555.634658073495, 2600.0, 6717.119425455952, 8490.969812527645, 10693.056345417666, 10692.64176184171, 6651.790392975676, 8732.281327407254, 15074.695341751754, 11863.475460441055, 5751.976236822491, 14686.90459755608, 11534.531543149078, 7526.262844843626, 6733.814813047757, 11270.573541131613, 13301.847961219239, 10680.281382855916, 7415.140100812023, 15753.687195842307, 12944.613812754149, 8358.358523720672, 7576.7345142446175, 11982.74720618749, 14068.834619503039, 9470.058707900724, 12424.134932057575, 10050.512917092, 11126.19427529109, 11893.432723207847, 11437.391806928528, 16078.866875635686, 8734.736751507258, 13793.972082130284, 11048.019661798611, 12719.803172873253, 9939.506130451307, 8825.507473665417, 13174.192916493757, 11431.793864737458, 8017.643730098251, 8719.269095264583, 11035.103423109682, 12309.367380153704, 11053.98932417163, 15942.367209635599, 13646.255433842169, 10186.22311552993, 7214.857718140385, 12917.700354266712, 10431.18632680675, 8259.481026503592, 12711.877436426705, 8843.710487859764, 3400.0, 10670.49498006576, 14770.171420391645, 16080.39438769031, 13701.941266186317, 11477.635426265417, 15660.035365750336, 12732.324904273235, 14826.622333780982, 13714.849852610714, 9809.584446758006, 11967.948814310352, 12199.714856306342, 11962.133466241234, 9307.124740660653, 11040.59833928039, 13647.310530029787, 10512.763514408914, 13832.738395248809, 10869.315687133254, 11706.026980222461, 8987.393853007332, 8301.228400336855, 15310.945799604502, 9834.012099775617, 13918.846965902216, 7667.734949689309]","[800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800]",1838.219,1740.816,0.131,24341263.692,65.712,48697.241,1.448,99200,198400,99200,198400,58.175,33.45,0.0,6404456.0,24635.806640625,1733424.125,43694580.0
16990.53952782545,2600.0,10801.022394094249,800.0,20,10,118400,0,236800,False,140,7,6a067_00000,117843b70b6344b19af063c61dbbfc87,2024-06-19_19-56-28,1718794588,11.276864051818848,68.74518609046936,1098130,DESKTOP-CUOU9RN,172.26.35.186,68.74518609046936,0,7,"[2600.0, 6717.119425455952, 8490.969812527645, 10693.056345417666, 10692.64176184171, 6651.790392975676, 8732.281327407254, 15074.695341751754, 11863.475460441055, 5751.976236822491, 14686.90459755608, 11534.531543149078, 7526.262844843626, 6733.814813047757, 11270.573541131613, 13301.847961219239, 10680.281382855916, 7415.140100812023, 15753.687195842307, 12944.613812754149, 8358.358523720672, 7576.7345142446175, 11982.74720618749, 14068.834619503039, 9470.058707900724, 12424.134932057575, 10050.512917092, 11126.19427529109, 11893.432723207847, 11437.391806928528, 16078.866875635686, 8734.736751507258, 13793.972082130284, 11048.019661798611, 12719.803172873253, 9939.506130451307, 8825.507473665417, 13174.192916493757, 11431.793864737458, 8017.643730098251, 8719.269095264583, 11035.103423109682, 12309.367380153704, 11053.98932417163, 15942.367209635599, 13646.255433842169, 10186.22311552993, 7214.857718140385, 12917.700354266712, 10431.18632680675, 8259.481026503592, 12711.877436426705, 8843.710487859764, 3400.0, 10670.49498006576, 14770.171420391645, 16080.39438769031, 13701.941266186317, 11477.635426265417, 15660.035365750336, 12732.324904273235, 14826.622333780982, 13714.849852610714, 9809.584446758006, 11967.948814310352, 12199.714856306342, 11962.133466241234, 9307.124740660653, 11040.59833928039, 13647.310530029787, 10512.763514408914, 13832.738395248809, 10869.315687133254, 11706.026980222461, 8987.393853007332, 8301.228400336855, 15310.945799604502, 9834.012099775617, 13918.846965902216, 7667.734949689309, 9864.779230099051, 6000.0, 13949.609625295558, 10423.356436996237, 12183.684488836137, 16990.53952782545, 9261.214311864365, 5600.0, 5800.0, 6941.959742037561, 11722.576808693208, 12289.730982050325, 13575.898768453844, 16722.20540701328, 10564.526493593057, 10742.435713416176, 5200.0, 6497.087878295119, 3800.0, 9523.247103935373]","[800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800]",1869.266,1711.902,0.134,23954618.597,66.803,47902.227,1.442,118400,236800,118400,236800,58.9875,33.4375,0.0,7424516.0,26633.6953125,2028569.625,52716228.0
16990.53952782545,3400.0,11334.04491640604,800.0,30,10,137600,0,275200,False,170,8,6a067_00000,117843b70b6344b19af063c61dbbfc87,2024-06-19_19-56-40,1718794600,11.523060321807861,80.26824641227722,1098130,DESKTOP-CUOU9RN,172.26.35.186,80.26824641227722,0,8,"[16078.866875635686, 8734.736751507258, 13793.972082130284, 11048.019661798611, 12719.803172873253, 9939.506130451307, 8825.507473665417, 13174.192916493757, 11431.793864737458, 8017.643730098251, 8719.269095264583, 11035.103423109682, 12309.367380153704, 11053.98932417163, 15942.367209635599, 13646.255433842169, 10186.22311552993, 7214.857718140385, 12917.700354266712, 10431.18632680675, 8259.481026503592, 12711.877436426705, 8843.710487859764, 3400.0, 10670.49498006576, 14770.171420391645, 16080.39438769031, 13701.941266186317, 11477.635426265417, 15660.035365750336, 12732.324904273235, 14826.622333780982, 13714.849852610714, 9809.584446758006, 11967.948814310352, 12199.714856306342, 11962.133466241234, 9307.124740660653, 11040.59833928039, 13647.310530029787, 10512.763514408914, 13832.738395248809, 10869.315687133254, 11706.026980222461, 8987.393853007332, 8301.228400336855, 15310.945799604502, 9834.012099775617, 13918.846965902216, 7667.734949689309, 9864.779230099051, 6000.0, 13949.609625295558, 10423.356436996237, 12183.684488836137, 16990.53952782545, 9261.214311864365, 5600.0, 5800.0, 6941.959742037561, 11722.576808693208, 12289.730982050325, 13575.898768453844, 16722.20540701328, 10564.526493593057, 10742.435713416176, 5200.0, 6497.087878295119, 3800.0, 9523.247103935373, 15540.099818900966, 10451.310059602332, 13443.735524557185, 14010.12242286398, 14901.090215952387, 10197.23452645012, 16101.155181522288, 9097.302511377988, 12875.027161816604, 10905.407532521385, 10930.936505147125, 10348.248564284084, 12001.022974222622, 12511.465981528287, 11736.02459686841, 7543.809487734239, 4400.0, 12351.058499390889, 11687.565933711783, 11684.34481827336, 10758.740893491082, 11839.33635383473, 10665.117070465669, 14175.590946402088, 11450.286517076976, 14117.573430960369, 12699.756730491787, 13941.52482499549, 15851.408192276747, 12590.019078444951]","[800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800]",1908.291,1676.893,0.139,23097182.585,65.617,48767.964,1.459,137600,275200,137600,275200,58.825,33.40625,0.0,7338674.5,27584.478515625,1972872.0,54580324.0
16990.53952782545,3400.0,11263.403240194077,800.0,20,10,156800,0,313600,False,190,9,6a067_00000,117843b70b6344b19af063c61dbbfc87,2024-06-19_19-56-51,1718794611,11.453023195266724,91.72126960754395,1098130,DESKTOP-CUOU9RN,172.26.35.186,91.72126960754395,0,9,"[8259.481026503592, 12711.877436426705, 8843.710487859764, 3400.0, 10670.49498006576, 14770.171420391645, 16080.39438769031, 13701.941266186317, 11477.635426265417, 15660.035365750336, 12732.324904273235, 14826.622333780982, 13714.849852610714, 9809.584446758006, 11967.948814310352, 12199.714856306342, 11962.133466241234, 9307.124740660653, 11040.59833928039, 13647.310530029787, 10512.763514408914, 13832.738395248809, 10869.315687133254, 11706.026980222461, 8987.393853007332, 8301.228400336855, 15310.945799604502, 9834.012099775617, 13918.846965902216, 7667.734949689309, 9864.779230099051, 6000.0, 13949.609625295558, 10423.356436996237, 12183.684488836137, 16990.53952782545, 9261.214311864365, 5600.0, 5800.0, 6941.959742037561, 11722.576808693208, 12289.730982050325, 13575.898768453844, 16722.20540701328, 10564.526493593057, 10742.435713416176, 5200.0, 6497.087878295119, 3800.0, 9523.247103935373, 15540.099818900966, 10451.310059602332, 13443.735524557185, 14010.12242286398, 14901.090215952387, 10197.23452645012, 16101.155181522288, 9097.302511377988, 12875.027161816604, 10905.407532521385, 10930.936505147125, 10348.248564284084, 12001.022974222622, 12511.465981528287, 11736.02459686841, 7543.809487734239, 4400.0, 12351.058499390889, 11687.565933711783, 11684.34481827336, 10758.740893491082, 11839.33635383473, 10665.117070465669, 14175.590946402088, 11450.286517076976, 14117.573430960369, 12699.756730491787, 13941.52482499549, 15851.408192276747, 12590.019078444951, 13180.415969120088, 9872.436819924369, 16331.16129456235, 11647.390681237775, 9882.713775111319, 12496.199153875481, 11634.971156284715, 10923.902350512788, 9074.238366010246, 10636.630370305473, 8784.969668561902, 4800.0, 13346.819498484143, 7090.331036868272, 10772.09022777775, 11704.323257739587, 10426.102119397194, 11906.63235060671, 12862.637596007866, 12782.228726728448]","[800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800]",1910.606,1674.861,0.132,24222654.395,65.926,48539.567,1.39,156800,313600,156800,313600,58.83529411764705,33.364705882352936,0.0,7483393.5,28193.62890625,2088642.75,46603484.0
16990.53952782545,3800.0,10990.286853350091,800.0,30,10,176000,0,352000,False,220,10,6a067_00000,117843b70b6344b19af063c61dbbfc87,2024-06-19_19-57-03,1718794623,11.659276723861694,103.38054633140564,1098130,DESKTOP-CUOU9RN,172.26.35.186,103.38054633140564,0,10,"[9864.779230099051, 6000.0, 13949.609625295558, 10423.356436996237, 12183.684488836137, 16990.53952782545, 9261.214311864365, 5600.0, 5800.0, 6941.959742037561, 11722.576808693208, 12289.730982050325, 13575.898768453844, 16722.20540701328, 10564.526493593057, 10742.435713416176, 5200.0, 6497.087878295119, 3800.0, 9523.247103935373, 15540.099818900966, 10451.310059602332, 13443.735524557185, 14010.12242286398, 14901.090215952387, 10197.23452645012, 16101.155181522288, 9097.302511377988, 12875.027161816604, 10905.407532521385, 10930.936505147125, 10348.248564284084, 12001.022974222622, 12511.465981528287, 11736.02459686841, 7543.809487734239, 4400.0, 12351.058499390889, 11687.565933711783, 11684.34481827336, 10758.740893491082, 11839.33635383473, 10665.117070465669, 14175.590946402088, 11450.286517076976, 14117.573430960369, 12699.756730491787, 13941.52482499549, 15851.408192276747, 12590.019078444951, 13180.415969120088, 9872.436819924369, 16331.16129456235, 11647.390681237775, 9882.713775111319, 12496.199153875481, 11634.971156284715, 10923.902350512788, 9074.238366010246, 10636.630370305473, 8784.969668561902, 4800.0, 13346.819498484143, 7090.331036868272, 10772.09022777775, 11704.323257739587, 10426.102119397194, 11906.63235060671, 12862.637596007866, 12782.228726728448, 7534.483724903304, 15284.337837972533, 13225.961418828861, 10209.984196448368, 12638.455217654671, 6848.392928294108, 10537.85454569969, 9198.775064171288, 10675.830976247682, 15150.660606352816, 12301.101121660777, 13537.150150606445, 14504.223293462954, 15940.841345161505, 7042.81262775313, 11563.970341043321, 15043.930472503034, 13542.860028486131, 11407.88211426606, 7809.36029660143, 6400.0, 7628.372818678265, 7536.8672888934525, 7532.225917892149, 10749.80617587765, 7588.284587260801, 6568.878952271074, 14279.508906338891, 6249.875321497009, 11880.633765494695]","[800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800, 800]",1924.958,1662.374,0.136,23580064.652,66.386,48203.292,1.442,176000,352000,176000,352000,59.462500000000006,33.412499999999994,0.0,4744876.0,29394.4453125,1375303.5,32575044.0
